 ,PLAYER,TEAM,AGE
1,Joel Embiid,PHI,29
2,Luka Doncic,DAL,24
3,Shai Gilgeous-Alexander,OKC,25
4,Giannis Antetokounmpo,MIL,29
5,Kevin Durant,PHX,35
6,Devin Booker,PHX,27
7,Donovan Mitchell,CLE,27
8,De'Aaron Fox,SAC,26
9,Jayson Tatum,BOS,25
10,Trae Young,ATL,25
11,Stephen Curry,GSW,35
12,Jalen Brunson,NYK,27
13,Nikola Jokic,DEN,28
14,Anthony Edwards,MIN,22
15,Tyrese Maxey,PHI,23
16,Damian Lillard,MIL,33
17,Kyrie Irving,DAL,31
18,Ja Morant,MEM,24
19,Anthony Davis,LAL,30
20,LeBron James,LAL,39
21,Desmond Bane,MEM,25
22,Julius Randle,NYK,29
23,LaMelo Ball,CHA,22
24,Lauri Markkanen,UTA,26
25,Anfernee Simons,POR,24
26,Tyrese Haliburton,IND,23
27,Kawhi Leonard,LAC,32
28,Paul George,LAC,33
29,Jaylen Brown,BOS,27
30,Cade Cunningham,DET,22
31,Karl-Anthony Towns,MIN,28
32,Paolo Banchero,ORL,21
33,Terry Rozier,MIA,29
34,DeMar DeRozan,CHI,34
34,Pascal Siakam,IND,29
36,Alperen Sengun,HOU,21
37,Zion Williamson,NOP,23
38,Jaren Jackson Jr.,MEM,24
39,Kyle Kuzma,WAS,28
40,Tyler Herro,MIA,24
41,Mikal Bridges,BKN,27
42,Dejounte Murray,ATL,27
43,Bam Adebayo,MIA,26
44,Brandon Ingram,NOP,26
45,Jerami Grant,POR,29
46,Jamal Murray,DEN,26
47,Miles Bridges,CHA,25
48,Jimmy Butler,MIA,34
49,Darius Garland,CLE,24
50,Franz Wagner,ORL,22
51,Cam Thomas,BKN,22
52,Victor Wembanyama,SAS,20
53,Scottie Barnes,TOR,22
54,Bojan Bogdanovic,DET,34
55,Domantas Sabonis,SAC,27
56,CJ McCollum,NOP,32
57,Kristaps Porzingis,BOS,28
58,Zach LaVine,CHI,28
59,RJ Barrett,TOR,23
60,Coby White,CHI,23
61,Jalen Williams,OKC,22
62,Jordan Clarkson,UTA,31
63,Tim Hardaway Jr.,DAL,31
64,Devin Vassell,SAS,23
65,Bradley Beal,PHX,30
66,Jalen Green,HOU,21
67,Tobias Harris,PHI,31
68,James Harden,LAC,34
69,Klay Thompson,GSW,33
70,Collin Sexton,UTA,25
71,Myles Turner,IND,27
72,Fred VanVleet,HOU,29
73,Chet Holmgren,OKC,21
74,Nikola Vucevic,CHI,33
75,Bogdan Bogdanovic,ATL,31
76,D'Angelo Russell,LAL,27
77,Keldon Johnson,SAS,24
78,Jordan Poole,WAS,24
79,Keegan Murray,SAC,23
80,Evan Mobley,CLE,22
81,Shaedon Sharpe,POR,20
82,Derrick White,BOS,29
83,Michael Porter Jr.,DEN,25
84,Malcolm Brogdon,POR,31
85,Caris LeVert,CLE,29
86,Immanuel Quickley,TOR,24
87,Jalen Johnson,ATL,22
88,OG Anunoby,NYK,26
89,Jarrett Allen,CLE,25
90,Austin Reaves,LAL,25
91,Khris Middleton,MIL,32
92,De'Andre Hunter,ATL,26
93,Brandon Miller,CHA,21
94,Malik Monk,SAC,25
95,Gordon Hayward,CHA,33
96,Marcus Smart,MEM,29
97,Jonathan Kuminga,GSW,21
98,Jaden Ivey,DET,21
99,Bennedict Mathurin,IND,21
100,Jaime Jaquez Jr.,MIA,22
